BSB Number,Account Number,Transaction Date,Narration,Cheque Number,Debit,Credit,Balance,Transaction Type
999-999,999990,07/09/2022,internet,,-94.25,,1193.6385500000001,TFD
999-999,999990,05/09/2022,salary,,,56.55,1287.8885500000001,DEP
999-999,999990,05/09/2022,movie,,-33.88853,,1231.3385500000002,WDL
999-999,999990,05/09/2022,TYPO,,-10.3675,,1265.2270800000001,WDL
999-999,999990,05/09/2022,laptop,,-29.029,,1275.59458,WDL
999-999,999990,05/09/2022,laptop,,-163.995,,1304.62358,WDL
999-999,999990,02/09/2022,car,,-226.2,,1468.61858,WDL
999-999,999990,01/09/2022,payoff,,-3.00092,,1694.81858,WDL
999-999,999990,31/08/2022,TYPO,,,1723.03703,1697.8195,PAY
999-999,999990,31/08/2022,transfer,,,1696.5,-25.21753,TFC
999-999,999990,31/08/2022,IOD,,-2582.39722,,-1721.7175300000004,TFD
999-999,999990,31/08/2022,TELSTRA,,-614.0802199999999,,860.6796899999999,TFD
999-999,999990,30/08/2022,TELSTRA,,,706.19263,1474.75991,DEP
999-999,999990,29/08/2022,movie,,-69.62058999999999,,768.5672800000001,WDL
999-999,999990,29/08/2022,tax,,-24.99133,,838.18787,WDL
999-999,999990,29/08/2022,Repay,,,56.55,863.1792,DEP
999-999,999990,29/08/2022,paypal,,-29.029,,806.6292000000001,WDL
999-999,999990,29/08/2022,internet,,-163.995,,835.6582,WDL
999-999,999990,29/08/2022,INTEREST,,-30.16,,999.6532000000001,WDL
999-999,999990,29/08/2022,IOD,,-25.636,,1029.8132,WDL
999-999,999990,29/08/2022,BARBER,,-754,,1055.4492,TFD
999-999,999990,25/08/2022,birthday,,-21.48146,,1809.4492000000002,WDC
999-999,999990,24/08/2022,TYPO,,,47.879000000000005,1830.93066,DEP
999-999,999990,23/08/2022,paypal,,,45.24,1783.05166,DEP
999-999,999990,22/08/2022,transfer,,,56.55,1737.81166,DEP
999-999,999990,22/08/2022,fuel,,-29.029,,1681.26166,WDL
999-999,999990,22/08/2022,TYPO,,-163.995,,1710.29066,WDL
999-999,999990,17/08/2022,payoff,,-7.54,,1874.2856599999998,WDC
999-999,999990,17/08/2022,food,,-3529.33074,,1881.82566,TFD
999-999,999990,17/08/2022,fuel,,,3529.33074,5411.156400000001,TFC
999-999,999990,15/08/2022,BARBER,,,33.17223,1881.82566,DEP
999-999,999990,15/08/2022,fuel,,,56.55,1848.65343,DEP
999-999,999990,15/08/2022,investment,,-16.874519999999997,,1792.1034300000001,WDL
999-999,999990,15/08/2022,game,,-29.029,,1808.9779500000002,WDL
999-999,999990,15/08/2022,salary,,-163.995,,1838.0069500000002,WDL
999-999,999990,12/08/2022,IOD,,-4.901,,2002.00195,WDL
999-999,999990,12/08/2022,Repay,,-4.335500000000001,,2006.9029500000001,WDL
999-999,999990,10/08/2022,payoff,,-155.5125,,2011.23845,WDL
999-999,999990,09/08/2022,movie,,-33.93,,2166.75095,WDL
999-999,999990,08/08/2022,internet,,,13.949000000000002,2200.6809500000004,DEP
999-999,999990,08/08/2022,internet,,,56.55,2186.7319500000003,DEP
999-999,999990,08/08/2022,Amart,,-29.029,,2130.18195,WDL
999-999,999990,08/08/2022,movie,,-163.995,,2159.21095,WDL
999-999,999990,08/08/2022,transfer,,-94.25,,2323.2059500000005,TFD
999-999,999990,05/08/2022,game,,-5.0518,,2417.4559500000005,WDL
999-999,999990,04/08/2022,TELSTRA,,-28.23353,,2422.50775,WDL
999-999,999990,04/08/2022,INTEREST,,-52.779999999999994,,2450.74128,WDL
999-999,999990,03/08/2022,birthday,,,1723.03703,2503.52128,PAY
999-999,999990,03/08/2022,laptop,,-324.83450999999997,,780.48425,TFD
999-999,999990,03/08/2022,birthday,,,28.275,1105.31876,DEP
999-999,999990,01/08/2022,paypal,,,56.55,1077.04376,DEP
999-999,999990,01/08/2022,electricity,,-10.1413,,1020.4937600000001,WDL
999-999,999990,01/08/2022,TRAVEL,,-29.029,,1030.63506,WDL
999-999,999990,01/08/2022,fuel,,-163.995,,1059.66406,WDL
999-999,999990,27/07/2022,IOD,,-12.195950000000002,,1223.65906,WDL
999-999,999990,26/07/2022,rent,,-43.96951,,1235.85501,WDL
999-999,999990,25/07/2022,electricity,,,56.55,1279.8245200000001,DEP
999-999,999990,25/07/2022,movie,,-4.901,,1223.2745200000002,WDC
999-999,999990,25/07/2022,TELSTRA,,-29.029,,1228.1755200000002,WDL
999-999,999990,25/07/2022,salary,,-163.995,,1257.2045200000002,WDL
999-999,999990,20/07/2022,transfer,,-7.54,,1421.1995200000001,WDC
999-999,999990,18/07/2022,movie,,,56.55,1428.73952,DEP
999-999,999990,18/07/2022,Repay,,-29.029,,1372.1895200000001,WDL
999-999,999990,18/07/2022,paypal,,-163.995,,1401.2185200000001,WDL
999-999,999990,18/07/2022,salary,,,16.965,1565.2135200000002,DEP
999-999,999990,11/07/2022,game,,,56.55,1548.24852,DEP
999-999,999990,11/07/2022,investment,,-29.029,,1491.6985200000001,WDL
999-999,999990,11/07/2022,BARBER,,-163.995,,1520.7275200000001,WDL
999-999,999990,08/07/2022,salary,,-55.362449999999995,,1684.72252,WDL
999-999,999990,07/07/2022,investment,,,13.949000000000002,1740.08497,DEP
999-999,999990,07/07/2022,IOD,,-94.25,,1726.1359699999998,TFD
999-999,999990,06/07/2022,transfer,,,1901.1996900000001,1820.3859699999998,PAY
999-999,999990,06/07/2022,salary,,-306.13154,,-80.81372,TFD
999-999,999990,04/07/2022,TRAVEL,,,3.77,225.31782,DEP
999-999,999990,04/07/2022,game,,,56.55,221.54781999999997,DEP
999-999,999990,04/07/2022,IOD,,-28.23353,,164.99782000000002,WDL
999-999,999990,04/07/2022,BARBER,,-29.029,,193.23135,WDL
999-999,999990,04/07/2022,TRAVEL,,-163.995,,222.26035,WDL
999-999,999990,04/07/2022,BARBER,,,84.825,386.25534999999996,DEP
999-999,999990,01/07/2022,paypal,,-167.85548,,301.43035,WDL
999-999,999990,27/06/2022,TYPO,,,56.55,469.28583,DEP
999-999,999990,27/06/2022,fuel,,-162.10999999999999,,412.73582999999996,WDL
999-999,999990,27/06/2022,Repay,,-29.029,,574.84583,WDL
999-999,999990,27/06/2022,internet,,-163.995,,603.87483,WDL
999-999,999990,24/06/2022,fuel,,-769.0799999999999,,767.8698299999999,WDC
999-999,999990,22/06/2022,internet,,-7.54,,1536.94983,WDC
999-999,999990,21/06/2022,electricity,,-13.553150000000002,,1544.48983,WDL
999-999,999990,20/06/2022,Amart,,,56.55,1558.04298,DEP
999-999,999990,20/06/2022,movie,,-29.029,,1501.49298,WDL
999-999,999990,20/06/2022,birthday,,-163.995,,1530.52198,WDL
999-999,999990,20/06/2022,game,,-5655,,1694.5169799999999,TFD
999-999,999990,20/06/2022,birthday,,-7.54,,7349.51698,WDL
999-999,999990,17/06/2022,fuel,,,4522.06599,7357.05698,PAY
999-999,999990,16/06/2022,internet,,,23.374000000000002,2834.9909900000002,DEP
999-999,999990,14/06/2022,salary,,-7.57393,,2811.61699,WDL
999-999,999990,14/06/2022,TYPO,,-15.43815,,2819.19092,WDL
999-999,999990,14/06/2022,laptop,,-75.39999999999999,,2834.62907,WDL
999-999,999990,13/06/2022,TYPO,,,56.55,2910.02907,DEP
999-999,999990,13/06/2022,car,,-8.671000000000001,,2853.47907,WDL
999-999,999990,13/06/2022,investment,,-16.0225,,2862.15007,WDL
999-999,999990,13/06/2022,laptop,,-29.029,,2878.1725699999997,WDL
999-999,999990,13/06/2022,internet,,-163.995,,2907.2015699999997,WDL
999-999,999990,10/06/2022,internet,,,7.54,3071.19657,DEP
999-999,999990,07/06/2022,tax,,,13.949000000000002,3063.6565699999996,DEP
999-999,999990,06/06/2022,movie,,-3.6606700000000005,,3049.70757,WDL
999-999,999990,06/06/2022,electricity,,,56.55,3053.3682400000002,DEP
999-999,999990,06/06/2022,rent,,-28.23353,,2996.81824,WDL
999-999,999990,06/06/2022,TRAVEL,,-6.786,,3025.05177,WDL
999-999,999990,06/06/2022,payoff,,-29.029,,3031.8377700000005,WDL
999-999,999990,06/06/2022,movie,,-163.995,,3060.8667700000005,WDL
999-999,999990,06/06/2022,Amart,,,26.389999999999997,3224.8617700000004,DEP
999-999,999990,02/06/2022,birthday,,-29.029,,3198.4717699999997,WDL
999-999,999990,02/06/2022,payoff,,-497.37233,,3227.5007699999996,TFD
999-999,999990,01/06/2022,alcohol,,,2635.88975,3724.8730999999993,PAY
999-999,999990,01/06/2022,TRAVEL,,-188.5,,1088.98335,WDC
999-999,999990,30/05/2022,food,,-12.35806,,1277.48335,WDL
999-999,999990,30/05/2022,internet,,,56.55,1289.84141,DEP
999-999,999990,30/05/2022,investment,,-163.995,,1233.29141,WDL
999-999,999990,25/05/2022,fuel,,-124.57965,,1397.28641,WDC
999-999,999990,25/05/2022,game,,-7.54,,1521.86606,WDC
999-999,999990,25/05/2022,fuel,,-180.96,,1529.4060600000003,WDC
999-999,999990,25/05/2022,BARBER,,,5.655,1710.3660599999998,DEP
999-999,999990,23/05/2022,movie,,,56.55,1704.71106,DEP
999-999,999990,23/05/2022,investment,,-163.995,,1648.1610600000001,WDL
999-999,999990,17/05/2022,TELSTRA,,,37.699999999999996,1812.1560599999998,DEP
999-999,999990,16/05/2022,fuel,,,56.55,1774.45606,DEP
999-999,999990,16/05/2022,tax,,-163.995,,1717.9060599999998,WDL
999-999,999990,16/05/2022,TRAVEL,,-17.719,,1881.9010599999997,WDL
999-999,999990,16/05/2022,salary,,,18.849999999999998,1899.6200599999997,DEP
999-999,999990,16/05/2022,tax,,,37.699999999999996,1880.7700599999998,DEP
999-999,999990,11/05/2022,food,,-5.9943,,1843.0700599999998,WDL
999-999,999990,10/05/2022,payoff,,-12.0263,,1849.06436,WDL
999-999,999990,10/05/2022,transfer,,-19.604,,1861.09066,WDL
999-999,999990,10/05/2022,alcohol,,,13.194999999999999,1880.6946599999999,DEP
999-999,999990,09/05/2022,Amart,,,56.55,1867.4996600000002,DEP
999-999,999990,09/05/2022,internet,,-163.995,,1810.94966,WDL
999-999,999990,09/05/2022,rent,,-29.029,,1974.9446599999999,WDL
999-999,999990,09/05/2022,movie,,-31.15905,,2003.9736599999999,WDL
999-999,999990,04/05/2022,electricity,,,1642.1177500000001,2035.1327099999999,PAY
999-999,999990,04/05/2022,internet,,-28.23353,,393.01496,WDL
999-999,999990,04/05/2022,game,,-522.1073,,421.24848999999995,TFD
999-999,999990,04/05/2022,IOD,,,14.1375,943.35579,DEP
999-999,999990,04/05/2022,transfer,,,43.732,929.2182899999999,DEP
999-999,999990,04/05/2022,payoff,,,12.064,885.4862899999999,DEP
999-999,999990,02/05/2022,Repay,,,56.55,873.42229,DEP
999-999,999990,02/05/2022,tax,,-163.995,,816.8722899999999,WDL
999-999,999990,02/05/2022,BARBER,,-29.029,,980.8672899999999,WDL
999-999,999990,02/05/2022,BARBER,,,15.08,1009.8962899999999,DEP
999-999,999990,26/04/2022,investment,,,56.55,994.81629,DEP
999-999,999990,26/04/2022,TELSTRA,,-7.54,,938.2662899999999,WDC
999-999,999990,26/04/2022,fuel,,-11.3854,,945.80629,WDL
999-999,999990,26/04/2022,payoff,,-163.995,,957.19169,WDL
999-999,999990,26/04/2022,internet,,-29.029,,1121.1866899999998,WDL
999-999,999990,26/04/2022,car,,,22.62,1150.21569,DEP
999-999,999990,26/04/2022,fuel,,,9.424999999999999,1127.5956899999999,DEP
999-999,999990,22/04/2022,paypal,,-45.24,,1118.17069,WDL
999-999,999990,21/04/2022,movie,,,30.16,1163.41069,DEP
999-999,999990,21/04/2022,alcohol,,,9.048,1133.2506899999998,DEP
999-999,999990,21/04/2022,transfer,,,11.31,1124.2026899999998,DEP
999-999,999990,20/04/2022,Repay,,-25.1836,,1112.89269,WDL
999-999,999990,20/04/2022,IOD,,,22.62,1138.07629,DEP
999-999,999990,20/04/2022,birthday,,-22.62,,1115.45629,WDL
999-999,999990,20/04/2022,electricity,,-15.834,,1138.07629,WDL
999-999,999990,19/04/2022,TYPO,,-104.806,,1153.91029,WDL
999-999,999990,19/04/2022,TYPO,,,56.55,1258.7162899999998,DEP
999-999,999990,19/04/2022,rent,,-30.16,,1202.16629,WDL
999-999,999990,19/04/2022,laptop,,-8.84065,,1232.32629,WDL
999-999,999990,19/04/2022,INTEREST,,-163.995,,1241.1669399999998,WDL
999-999,999990,19/04/2022,Amart,,-29.029,,1405.16194,WDL
999-999,999990,19/04/2022,salary,,,15.08,1434.19094,DEP
999-999,999990,12/04/2022,TRAVEL,,-37.699999999999996,,1419.1109399999998,WDL
999-999,999990,11/04/2022,car,,,56.55,1456.8109399999998,DEP
999-999,999990,11/04/2022,Amart,,-1.8812300000000002,,1400.26094,WDC
999-999,999990,11/04/2022,rent,,-163.995,,1402.1421699999999,WDL
999-999,999990,11/04/2022,electricity,,-29.029,,1566.1371700000002,WDL
999-999,999990,11/04/2022,food,,-37.699999999999996,,1595.1661700000002,WDL
999-999,999990,08/04/2022,electricity,,-18.393829999999998,,1632.86617,WDL
999-999,999990,08/04/2022,alcohol,,,9.424999999999999,1651.26,DEP
999-999,999990,06/04/2022,rent,,,1642.1177500000001,1641.8349999999998,PAY
999-999,999990,06/04/2022,movie,,-1306.7536300000002,,-0.28275,TFD
999-999,999990,05/04/2022,car,,,14.326,1306.47088,DEP
999-999,999990,05/04/2022,fuel,,,11.31,1292.14488,DEP
999-999,999990,04/04/2022,internet,,,56.55,1280.83488,DEP
999-999,999990,04/04/2022,paypal,,-28.229759999999995,,1224.2848800000002,WDL
999-999,999990,04/04/2022,BARBER,,-163.995,,1252.51464,WDL
999-999,999990,04/04/2022,Amart,,-29.029,,1416.50964,WDL
999-999,999990,04/04/2022,INTEREST,,,18.849999999999998,1445.53864,DEP
999-999,999990,01/04/2022,birthday,,,15.834,1426.68864,DEP
999-999,999990,29/03/2022,TYPO,,-7.54,,1410.85464,WDC
999-999,999990,29/03/2022,car,,-22.243,,1418.39464,WDL
999-999,999990,28/03/2022,car,,-14.476799999999999,,1440.6376400000001,WDL
999-999,999990,28/03/2022,IOD,,,56.55,1455.11444,DEP
999-999,999990,28/03/2022,food,,-163.995,,1398.5644399999999,WDL
999-999,999990,28/03/2022,alcohol,,-29.029,,1562.5594400000002,WDL
999-999,999990,21/03/2022,birthday,,,56.55,1591.5884400000002,DEP
999-999,999990,21/03/2022,investment,,-102.3555,,1535.0384399999998,WDL
999-999,999990,21/03/2022,salary,,-64.09,,1637.39394,WDL
999-999,999990,21/03/2022,TYPO,,-163.995,,1701.48394,WDL
999-999,999990,21/03/2022,food,,-29.029,,1865.4789400000002,WDL
999-999,999990,21/03/2022,game,,,7.54,1894.5079400000002,DEP
999-999,999990,14/03/2022,Repay,,,56.55,1886.9679400000002,DEP
999-999,999990,14/03/2022,investment,,-163.995,,1830.4179400000003,WDL
999-999,999990,14/03/2022,movie,,-29.029,,1994.41294,WDL
999-999,999990,14/03/2022,movie,,,43.732,2023.44194,DEP
999-999,999990,09/03/2022,game,,-18.096,,1979.7099400000002,WDL
999-999,999990,09/03/2022,laptop,,-20.1695,,1997.8059400000002,WDL
999-999,999990,09/03/2022,TYPO,,,356.265,2017.97544,DEP
999-999,999990,08/03/2022,fuel,,,172.94875,1661.71044,DEP
999-999,999990,07/03/2022,Amart,,-163.995,,1488.7616899999998,WDL
999-999,999990,07/03/2022,salary,,,86.71000000000001,1652.75669,DEP
999-999,999990,07/03/2022,BARBER,,,31.668,1566.0466900000001,DEP
999-999,999990,04/03/2022,TYPO,,-22.62,,1534.3786899999998,WDL
999-999,999990,04/03/2022,food,,-18.849999999999998,,1556.9986900000001,WDL
999-999,999990,03/03/2022,car,,-414.30415000000005,,1575.84869,WDL
999-999,999990,03/03/2022,IOD,,-704.6393899999999,,1990.15284,TFD
999-999,999990,02/03/2022,birthday,,,1642.1177500000001,2694.79223,PAY
999-999,999990,01/03/2022,fuel,,-7.54,,1052.67448,WDC
999-999,999990,01/03/2022,salary,,-24.542699999999996,,1060.2144799999999,WDL
999-999,999990,28/02/2022,IOD,,-163.995,,1084.75718,WDL
999-999,999990,28/02/2022,TYPO,,-120.64,,1248.7521800000002,WDL
999-999,999990,28/02/2022,tax,,,77.28500000000001,1369.39218,DEP
999-999,999990,28/02/2022,salary,,,245.04999999999998,1292.10718,DEP
999-999,999990,22/02/2022,movie,,-509.70400000000006,,1047.05718,WDL
999-999,999990,22/02/2022,BARBER,,-188.5,,1556.76118,WDL
999-999,999990,22/02/2022,INTEREST,,,369.46,1745.26118,DEP
999-999,999990,21/02/2022,movie,,,75.39999999999999,1375.8011800000002,DEP
999-999,999990,17/02/2022,fuel,,-21.677500000000002,,1300.40118,WDC
999-999,999990,16/02/2022,TYPO,,-28.237300000000005,,1322.07868,WDC
999-999,999990,16/02/2022,TELSTRA,,,508.95,1350.3159799999999,DEP
999-999,999990,15/02/2022,rent,,-850.39136,,841.3659799999999,TFD
999-999,999990,15/02/2022,TELSTRA,,-163.995,,1691.7573399999999,WDL
999-999,999990,14/02/2022,payoff,,-106.77771000000001,,1855.7523400000002,TFD
999-999,999990,08/02/2022,rent,,-1.5042300000000002,,1962.53005,WDL
999-999,999990,08/02/2022,payoff,,-13.949000000000002,,1964.0342800000003,WDC
999-999,999990,08/02/2022,food,,-7.53623,,1977.9832800000001,WDC
999-999,999990,08/02/2022,TYPO,,-10.933,,1985.51951,WDC
999-999,999990,08/02/2022,INTEREST,,-15.834,,1996.45251,WDC
999-999,999990,07/02/2022,TELSTRA,,-33.91115,,2012.2865100000001,WDL
999-999,999990,01/02/2022,TRAVEL,,-15.08,,2046.19766,WDL
999-999,999990,01/02/2022,fuel,,-7.54,,2061.2776599999997,WDC
999-999,999990,01/02/2022,car,,-37.699999999999996,,2068.81766,WDL
999-999,999990,01/02/2022,rent,,-75.39999999999999,,2106.51766,WDL
999-999,999990,01/02/2022,transfer,,-233.74,,2181.91766,WDL
999-999,999990,31/01/2022,electricity,,,1691.88175,2415.65766,PAY
999-999,999990,31/01/2022,internet,,-22.61623,,723.77591,WDC
999-999,999990,31/01/2022,TELSTRA,,-8.444799999999999,,746.3921399999999,WDC
999-999,999990,31/01/2022,paypal,,-75.39999999999999,,754.83694,WDL
999-999,999990,31/01/2022,TELSTRA,,-9.802,,830.2369399999999,WDL
999-999,999990,28/01/2022,TRAVEL,,-120.64,,840.0389399999999,WDL
999-999,999990,25/01/2022,IOD,,-16.965,,960.6789399999999,WDL
999-999,999990,25/01/2022,BARBER,,-9.9151,,977.6439399999998,WDC
999-999,999990,25/01/2022,paypal,,-1.3195,,987.55904,WDC
999-999,999990,25/01/2022,fuel,,-3.0913999999999993,,988.8785399999999,WDC
999-999,999990,25/01/2022,transfer,,-76.53477,,991.96994,WDC
999-999,999990,25/01/2022,paypal,,-2.37133,,1068.50471,WDC
999-999,999990,24/01/2022,TYPO,,-6.786,,1070.87604,WDC
999-999,999990,24/01/2022,investment,,-11.40048,,1077.66204,WDC
999-999,999990,24/01/2022,BARBER,,-11.48719,,1089.0625200000002,WDC
999-999,999990,24/01/2022,Repay,,-4.524,,1100.54971,WDC
999-999,999990,24/01/2022,TELSTRA,,-3.393,,1105.0737100000001,WDC
999-999,999990,24/01/2022,payoff,,-7.464600000000001,,1108.4667100000001,WDC
999-999,999990,24/01/2022,game,,-9.26289,,1115.9313100000002,WDC
999-999,999990,24/01/2022,food,,-0.63713,,1125.1942,WDC
999-999,999990,18/01/2022,internet,,-3.5438000000000005,,1125.83133,WDL
999-999,999990,18/01/2022,IOD,,-12.799150000000003,,1129.37513,WDC
999-999,999990,18/01/2022,alcohol,,-2.639,,1142.17428,WDC
999-999,999990,18/01/2022,salary,,-14.84249,,1144.8132799999998,WDC
999-999,999990,17/01/2022,TYPO,,-32.550180000000005,,1159.65577,WDL
999-999,999990,17/01/2022,fuel,,-7.163,,1192.20595,WDC
999-999,999990,17/01/2022,birthday,,-15.08754,,1199.3689499999998,WDC
999-999,999990,17/01/2022,alcohol,,-301.59999999999997,,1214.45649,WDL
999-999,999990,14/01/2022,IOD,,-1.885,,1516.05649,WDC
999-999,999990,13/01/2022,food,,-1.8020600000000002,,1517.94149,WDC
999-999,999990,13/01/2022,alcohol,,-9.048,,1519.7435500000001,WDC
999-999,999990,12/01/2022,TRAVEL,,-52.026,,1528.7915500000001,WDC
999-999,999990,12/01/2022,salary,,-7.54,,1580.81755,WDC
999-999,999990,12/01/2022,rent,,-2.6767,,1588.3575499999997,WDC
999-999,999990,11/01/2022,TELSTRA,,-5.391100000000001,,1591.0342500000002,WDC
999-999,999990,11/01/2022,tax,,-17.10826,,1596.4253500000002,WDC
999-999,999990,10/01/2022,electricity,,-77.28500000000001,,1613.5336100000002,WDL
999-999,999990,10/01/2022,Repay,,-3.2045,,1690.8186100000003,WDC
999-999,999990,10/01/2022,fuel,,-11.30623,,1694.0231100000003,WDC
999-999,999990,10/01/2022,food,,-16.96123,,1705.3293400000002,WDC
999-999,999990,10/01/2022,rent,,-125.57115999999999,,1722.29057,WDC
999-999,999990,10/01/2022,Repay,,-62.4312,,1847.86173,WDC
999-999,999990,10/01/2022,transfer,,-2.63523,,1910.29293,WDC
999-999,999990,10/01/2022,game,,-18.846230000000002,,1912.92816,WDC
999-999,999990,10/01/2022,investment,,-9.010299999999999,,1931.7743899999998,WDC
999-999,999990,10/01/2022,fuel,,,64.09,1940.7846900000002,DEP
999-999,999990,07/01/2022,car,,-15.08,,1876.69469,WDC
999-999,999990,07/01/2022,transfer,,-22.61623,,1891.7746900000002,WDC
999-999,999990,07/01/2022,movie,,-11.1969,,1914.39092,WDC
999-999,999990,07/01/2022,Amart,,-18.83115,,1925.58782,WDC
999-999,999990,07/01/2022,salary,,-48.9723,,1944.4189699999997,WDC
999-999,999990,07/01/2022,internet,,-15.1177,,1993.39127,WDC
999-999,999990,05/01/2022,TYPO,,,1642.1177500000001,2008.5089699999999,PAY
999-999,999990,05/01/2022,birthday,,-8.033869999999999,,366.39122000000003,WDC
999-999,999990,05/01/2022,tax,,-8.42972,,374.42508999999995,WDC
999-999,999990,05/01/2022,IOD,,-7.464600000000001,,382.85481,WDC
999-999,999990,05/01/2022,transfer,,-22.8462,,390.31940999999995,WDC
999-999,999990,05/01/2022,paypal,,-4.7124999999999995,,413.16561,WDL
999-999,999990,04/01/2022,birthday,,-18.18648,,417.87811,WDL
999-999,999990,04/01/2022,movie,,-5.9189,,436.06459000000007,WDC
999-999,999990,04/01/2022,car,,-9.2365,,441.98348999999996,WDC
999-999,999990,04/01/2022,TELSTRA,,-130.065,,451.21998999999994,WDC
999-999,999990,04/01/2022,electricity,,-2.3562499999999997,,581.28499,WDC
999-999,999990,04/01/2022,paypal,,-15.08,,583.6412399999999,WDC
999-999,999990,04/01/2022,alcohol,,-10.58616,,598.72124,WDC
999-999,999990,04/01/2022,rent,,-7.54,,609.3074,WDC
999-999,999990,04/01/2022,payoff,,,4.69365,616.8474,DRR
999-999,999990,04/01/2022,game,,-4.69365,,612.15375,WDL
999-999,999990,04/01/2022,payoff,,,64.09,616.8474,DEP
999-999,999991,01/09/2022,laptop,,,0.15080000000000002,0.15080000000000002,CRI
999-999,999991,17/08/2022,laptop,,-3529.33074,,0,TFD
999-999,999991,01/08/2022,TRAVEL,,,0.15080000000000002,3529.33074,CRI
999-999,999991,01/07/2022,IOD,,,0.14703,3529.1799399999995,CRI
999-999,999991,01/06/2022,laptop,,,0.14703,3529.03291,CRI
999-999,999991,02/05/2022,tax,,,0.15080000000000002,3528.8858800000003,CRI
999-999,999991,01/04/2022,transfer,,,0.15080000000000002,3528.7350800000004,CRI
999-999,999991,01/03/2022,movie,,,0.13572,3528.5842799999996,CRI
999-999,999991,01/02/2022,birthday,,,0.13572,3528.44856,CRI
999-999,999991,04/01/2022,fuel,,,0.16588,3528.3128399999996,CRI
999-999,999992,03/10/2022,fuel,,,6.0244599999999995,34445.340149999996,CRI
999-999,999992,03/10/2022,car,,,62.22762,34439.31569,CRI
999-999,999992,07/09/2022,INTEREST,,,94.25,34377.088070000005,TFC
999-999,999992,01/09/2022,IOD,,,3.58527,34282.838070000005,CRI
999-999,999992,31/08/2022,rent,,-1696.5,,34279.252799999995,TFD
999-999,999992,31/08/2022,electricity,,,2582.39722,35975.752799999995,TFC
999-999,999992,29/08/2022,birthday,,,754,33393.355579999996,TFC
999-999,999992,17/08/2022,transfer,,,3529.33074,32639.355579999996,TFC
999-999,999992,08/08/2022,movie,,,94.25,29110.02484,TFC
999-999,999992,01/08/2022,TRAVEL,,,0.24505000000000002,29015.77484,CRI
999-999,999992,01/08/2022,rent,,,33.32303,29015.52979,CRI
999-999,999992,07/07/2022,payoff,,,94.25,28982.20676,TFC
999-999,999992,01/07/2022,laptop,,,0.20735,28887.95676,CRI
999-999,999992,01/07/2022,alcohol,,,19.64547,28887.74941,CRI
999-999,999992,20/06/2022,investment,,,5655,28868.103940000005,TFC
999-999,999992,01/06/2022,internet,,,0.19227,23213.10394,CRI
999-999,999992,02/05/2022,birthday,,,0.19604000000000002,23212.911669999998,CRI
999-999,999992,01/04/2022,Amart,,,0.19604000000000002,23212.715630000002,CRI
999-999,999992,01/03/2022,movie,,,0.17719,23212.51959,CRI
999-999,999992,01/02/2022,INTEREST,,,0.17719,23212.3424,CRI
999-999,999992,04/01/2022,Repay,,,0.21489,23212.16521,CRI
999-999,999993,03/10/2022,alcohol,,-16.965,,-741.90584,
999-999,999993,03/10/2022,tax,,-35.713210000000004,,-724.94084,
999-999,999993,03/10/2022,alcohol,,-16.86321,,-689.22763,
999-999,999993,03/10/2022,tax,,-190.06832,,-672.36442,
999-999,999993,27/09/2022,birthday,,-5.956600000000001,,-482.29609999999997,WDL
999-999,999993,26/09/2022,birthday,,-5.843500000000001,,-476.3395,WDL
